Software Name,version Family,FULL SUPPORT Start,FULL SUPPORT End,MAINTENANCE SUPPORT Start,MAINTENANCE SUPPORT End,EXTENDED SUPPORT Start,EXTENDED SUPPORT End,announcement_url
TomEE,8.0.x,2019-09-13,2024-03-12,2024-03-13,2027-03-12,2027-03-13,2029-03-12,https://www.tomitribe.com/legal/lifecycle-policy/
TomEE,7.1.x,2018-09-02,2021-09-01,2021-09-02,2024-09-01,2024-09-02,2026-09-01,https://www.tomitribe.com/legal/lifecycle-policy/
TomEE,7.0.x,2016-05-17,2020-08-16,2020-08-17,2023-08-16,2023-08-17,2025-08-16,https://www.tomitribe.com/legal/lifecycle-policy/
TomEE,1.7.x,2014-08-09,2018-05-08,2018-05-09,2021-05-08,2021-05-09,2023-05-08,https://www.tomitribe.com/legal/lifecycle-policy/
TomEE,1.6.x,2013-11-17,2016-11-16,2016-11-17,2019-11-16,2019-11-17,2021-11-16,https://www.tomitribe.com/legal/lifecycle-policy/
TomEE,1.5.x,2012-09-28,2015-10-27,2015-10-28,2018-10-27,2018-10-28,2020-10-27,https://www.tomitribe.com/legal/lifecycle-policy/
TomEE,1.0.x,2012-04-27,2015-04-26,2015-04-27,2018-04-26,2018-04-27,2020-04-26,https://www.tomitribe.com/legal/lifecycle-policy/
Tomcat,10.0.x,2020-12-03,2024-03-02,2024-03-03,2027-03-02,2027-03-03,2029-03-02,https://www.tomitribe.com/legal/lifecycle-policy/
Tomcat,9.0.x,2017-09-27,2022-11-26,2022-11-27,2025-11-26,2025-11-27,2027-11-26,https://www.tomitribe.com/legal/lifecycle-policy/
Tomcat,8.5.x,2016-03-17,2019-09-16,2019-09-17,2025-02-16,2025-02-17,2027-02-16,https://www.tomitribe.com/legal/lifecycle-policy/
Tomcat,8.0.x,2014-01-29,2018-02-28,2018-02-28,2021-06-28,2021-06-28,2023-06-28,https://www.tomitribe.com/legal/lifecycle-policy/
Tomcat,7.0.x,2013-01-10,2016-01-09,2016-01-10,2024-04-09,2024-04-10,2026-04-09,https://www.tomitribe.com/legal/lifecycle-policy/
ActiveMQ,5.16.x,2020-06-25,2024-02-24,2024-02-25,2027-02-24,2027-02-25,2029-02-24,https://www.tomitribe.com/legal/lifecycle-policy/
ActiveMQ,5.15.x,2017-06-27,2022-05-26,2022-05-27,2025-05-26,2025-05-27,2027-05-26,https://www.tomitribe.com/legal/lifecycle-policy/
ActiveMQ,5.14.x,2016-08-02,2019-08-01,2019-08-02,2022-08-01,2022-08-02,2024-08-01,https://www.tomitribe.com/legal/lifecycle-policy/
ActiveMQ,5.13.x,2015-11-30,2018-11-29,2018-11-30,2021-11-29,2021-11-30,2023-11-29,https://www.tomitribe.com/legal/lifecycle-policy/
